Date,News,Polarity,Sentiment,neg,neu,pos,compound,Cum
29 01 2014,"Trading of Government Securities on the Stock Exchanges - KARACHI: State Bank of Pakistan ( SBP) has decided to allow trading of Government securities -- Market Treasury Bills, P",1,1,0.0,0.731,0.269,0.7269,1
29 01 2014,ANP welcomes dialogue process with Taliban - ISLAMABAD: Awami National Party (ANP) on Wednesday welcomed the decision of Prime Minister Nawaz Sharif to initiate dial,1,1,0.0,0.729,0.271,0.7783,1
29 01 2014,"German consumer confidence gets off to good start in 2014: survey - FRANKFURT: Consumer confidence in Germany rose again at the start of the new year, auguring well for Europe's top ec",1,1,0.0,0.66,0.34,0.9081,1
29 01 2014,"Government remain committed to grant voting right to overseas Pakistanis, NA told - ISLAMABAD: Minister for Overseas Pakistanis and Human Resources Development Pir Syed Sadaruddin Rashidi Wednesday inform",1,1,0.0,0.845,0.155,0.5574,1
29 01 2014,"South Korea's current account surplus hits record in 2013 - SEOUL: South Korea's current account surplus reached a record $70.7 billion in 2013, helped by robust exports, offic",1,1,0.0,0.863,0.137,0.4215,1
29 01 2014,Li Ka-shing's HK Electric Investments falls on Hong Kong debut - HONG KONG: The stock market debut of a utility trust owned by Asia's richest man Li Ka-shing went with a whimper not,1,1,0.0,0.807,0.193,0.7717,1
04 02 2014,"South Korea inflation stable at 1.1pc in January - SEOUL: South Korean consumer prices rose 1.1 percent in January, well below the central bank's target inflation band",1,1,0.0,0.848,0.152,0.5106,1
13 02 2014,"Barjees urges AJK govt to ensure free by-polls - ISLAMABAD: Federal Minister for Gilgit Baltistan and Kashmir Affairs (GB&AJK), Barjees Tahir on Thursday urged the A",1,1,0.0,0.789,0.211,0.7096,1
13 02 2014,"LSE gains 6.12 points - LAHORE: The Lahore Stock Exchange here Thursday witnessed bullish trend by gaining 6.12 points, as the LSE Index-25 open",1,1,0.0,0.802,0.198,0.6369,1
13 02 2014,"Malik urges political forces to join hand for progress - ISLAMABAD: Former Interior Minister Rehman Malik Thursday urged all political parties to join hands for progress, prospe",1,1,0.0,0.557,0.443,0.9313,1
13 02 2014,"Minorities enjoy equal opportunities in country, Senate told - ISLAMABAD: State Minister for Parliamentary Affairs Shaikh Aftab Ahmed Thursday said minorities are being provided equal",1,1,0.0,0.791,0.209,0.7003,1
13 02 2014,"Ministry of Petroleum, Natural Resources' advisor lauds PSO's performance - ISLAMABAD: Advisor to the Ministry for Petroleum and Natural Resources Zahid Muzaffar on Thursday visited the head offic",1,1,0.0,0.833,0.167,0.6124,1
13 02 2014,"Congress extends US borrowing authority until 2015 - WASHINGTON: Lawmakers approved a 13-month extension of US borrowing authority with no strings attached Wednesday, shelvi",1,1,0.084,0.651,0.264,0.4019,1
13 02 2014,Japan Q4 growth seen quickening on shopping spree before tax hike - TOKYO: Japan's economic growth is expected to have quickened at the end of last year as consumers ramped up spending,1,1,0.0,0.848,0.152,0.6369,1
26 02 2014,Governor takes notice of excesses to professors - KARACHI: Sindh Governor Dr. Ishrat-ul-Ebad Khan has taken serious notice of torture on the participants of demonstration,-1,-1,0.188,0.761,0.051,-0.5859,-1
26 02 2014,"LSE loses 111.64 points - LAHORE: Lahore Stock Exchange here Wednesday witnessed bearsh trend by losing 111.64 points, as the LSE Index-25 opened",-1,-1,0.197,0.803,0.0,-0.5994,-1
26 02 2014,LHC complaint cell takes notice of custodial death - LAHORE: The Lahore High Court Complaint Cell on Wednesday took notice of a 65-year old man's death in police custody,-1,-1,0.347,0.653,0.0,-0.9042,-1
